category_slug,subcategory_slug,text,difficulty,explanation,law_name,law_article,source_url,law_version_date,is_prime,option_a,option_b,option_c,option_d,correct_option
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა საკითხს აწესრიგებს ეს კანონი?",easy,"სწორი პასუხია A, რადგან საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მუხლი 1 განსაზღვრავს ნორმატიული აქტების სახეებს, იერარქიას, მომზადების, მიღების, გამოქვეყნების, მოქმედების, აღრიცხვისა და სისტემატიზაციის ზოგად წესებს.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 1,,2026-06-12,false,ნორმატიული აქტების სისტემის ზოგად წესებს,მხოლოდ კერძო ხელშეკრულებების დადების წესს,მხოლოდ სასამართლო გადაწყვეტილებების გასაჩივრებას,მხოლოდ ადმინისტრაციული სახდელების დანიშვნას,A
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა წესით რეგულირდება საერთაშორისო ხელშეკრულების მომზადება და რატიფიცირება?",medium,"სწორი პასუხია C, რადგან მუხლი 1 მიუთითებს, რომ საერთაშორისო ხელშეკრულების მომზადების, დადების, რატიფიცირების, გამოქვეყნების, შესრულების, დენონსირებისა და გაუქმების წესი განისაზღვრება კონსტიტუციით, ამ კანონით, სპეციალური კანონითა და პარლამენტის რეგლამენტით.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 1,,2026-06-12,false,მხოლოდ მთავრობის დადგენილებით,მხოლოდ იუსტიციის მინისტრის ბრძანებით,"კონსტიტუციით, ამ კანონით, სპეციალური კანონითა და რეგლამენტით",მხოლოდ მუნიციპალიტეტის წარმომადგენლობითი ორგანოს აქტით,C
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა არის სამართლებრივი აქტი?",easy,"სწორი პასუხია B, რადგან მუხლი 2 სამართლებრივ აქტს განსაზღვრავს როგორც უფლებამოსილი სახელმწიფო ან მუნიციპალიტეტის ორგანოს მიერ დადგენილი წესით მიღებულ, შესასრულებლად სავალდებულო აქტს.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 2,,2026-06-12,false,მხოლოდ კერძო პირის წერილობითი შეთანხმება,უფლებამოსილი ორგანოს მიერ დადგენილი წესით მიღებული სავალდებულო აქტი,მხოლოდ სასამართლოს მიერ მიღებული განაჩენი,მხოლოდ პოლიტიკური პარტიის შიდა წესდება,B
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რომელი ორი სახის სამართლებრივი აქტი არსებობს?",easy,"სწორი პასუხია D, რადგან მუხლი 2 ადგენს, რომ სამართლებრივი აქტის სახეებია ნორმატიული აქტი და ინდივიდუალური აქტი.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 2,,2026-06-12,false,საჯარო აქტი და კერძო აქტი,ადგილობრივი აქტი და საერთაშორისო აქტი,დროებითი აქტი და საბოლოო აქტი,ნორმატიული აქტი და ინდივიდუალური აქტი,D
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რით ხასიათდება ნორმატიული აქტი?",medium,"სწორი პასუხია A, რადგან მუხლი 2 ნორმატიულ აქტს უკავშირებს მუდმივი ან დროებითი და მრავალჯერადი გამოყენების ქცევის ზოგად წესს.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 2,,2026-06-12,false,შეიცავს მრავალჯერადი გამოყენების ქცევის ზოგად წესს,ყოველთვის ეხება მხოლოდ ერთ კონკრეტულ პირს,არ არის სავალდებულო შესასრულებლად,მიიღება მხოლოდ ზეპირი მითითებით,A
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა მოთხოვნას უნდა აკმაყოფილებდეს ინდივიდუალური სამართლებრივი აქტი?",medium,"სწორი პასუხია C, რადგან მუხლი 2 ადგენს, რომ ინდივიდუალური სამართლებრივი აქტი ერთჯერადია, უნდა შეესაბამებოდეს ნორმატიულ აქტს და მიიღება მხოლოდ მის საფუძველზე და მის ფარგლებში.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 2,,2026-06-12,false,უნდა შეიცავდეს ზოგად და მრავალჯერად წესს,შეიძლება მიიღებოდეს ნორმატიული აქტის გარეშე,უნდა შეესაბამებოდეს ნორმატიულ აქტს და მის ფარგლებში მიიღებოდეს,ყოველთვის უნდა იყოს კონსტიტუციური კანონის ფორმით,C
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა არის კოდექსი?",easy,"სწორი პასუხია B, რადგან მუხლი 2 კოდექსს განსაზღვრავს როგორც განსაზღვრული საზოგადოებრივი ურთიერთობების მომწესრიგებელ სამართლებრივ ნორმათა სისტემატიზებულ ნორმატიულ აქტს.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 2,,2026-06-12,false,მხოლოდ სასამართლოს მიერ გამოცემული ინდივიდუალური აქტი,საზოგადოებრივი ურთიერთობების მომწესრიგებელ ნორმათა სისტემატიზებული ნორმატიული აქტი,მხოლოდ ადმინისტრაციული ორგანოს შიდა ინსტრუქცია,საერთაშორისო ხელშეკრულების არაოფიციალური თარგმანი,B
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა ტერიტორიაზე მოქმედებს საქართველოს ნორმატიული აქტი, თუ თავად აქტით სხვა რამ არ არის დადგენილი?",easy,"სწორი პასუხია D, რადგან მუხლი 3 ადგენს, რომ საქართველოს ნორმატიული აქტი მოქმედებს საქართველოს მთელ ტერიტორიაზე, თუ თვით აქტით სხვა რამ არ არის დადგენილი.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 3,,2026-06-12,false,მხოლოდ აქტის გამომცემი ორგანოს შენობაში,მხოლოდ ერთი მუნიციპალიტეტის საზღვრებში,მხოლოდ ავტონომიური რესპუბლიკის ტერიტორიაზე,საქართველოს მთელ ტერიტორიაზე,D
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა ფარგლებში მოქმედებს მუნიციპალიტეტის წარმომადგენლობითი ორგანოს ნორმატიული აქტი?",medium,"სწორი პასუხია A, რადგან მუხლი 3 ადგენს, რომ მუნიციპალიტეტის წარმომადგენლობითი ორგანოს ნორმატიული აქტი მოქმედებს მუნიციპალიტეტის ადმინისტრაციულ საზღვრებში, გარდა კანონით განსაზღვრული შემთხვევებისა.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 3,,2026-06-12,false,მუნიციპალიტეტის ადმინისტრაციულ საზღვრებში,საქართველოს მთელ ტერიტორიაზე ყოველგვარი გამონაკლისის გარეშე,მხოლოდ ავტონომიური რესპუბლიკის მთელ ტერიტორიაზე,მხოლოდ საერთაშორისო ხელშეკრულებით განსაზღვრულ ტერიტორიაზე,A
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, რა ენაზე უნდა მომზადდეს, გამოიცეს და გამოქვეყნდეს ნორმატიული აქტი?",easy,"სწორი პასუხია C, რადგან მუხლი 4 ადგენს, რომ ნორმატიული აქტი უნდა მომზადდეს, გამოიცეს და გამოქვეყნდეს ქართულ ენაზე, ხოლო აფხაზეთის ავტონომიური რესპუბლიკის შესაბამისი აქტები აგრეთვე აფხაზურ ენაზე.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 4,,2026-06-12,false,მხოლოდ ინგლისურ ენაზე,"მხოლოდ იმ ენაზე, რომელსაც გამომცემი ორგანო აირჩევს","ქართულ ენაზე, ხოლო შესაბამის შემთხვევაში აგრეთვე აფხაზურ ენაზე",მხოლოდ არასახელმწიფო ენაზე ოფიციალური ძალით,C
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, აქვს თუ არა ოფიციალური ძალა ნორმატიული აქტის არასახელმწიფო ენაზე გამოქვეყნებულ ტექსტს?",easy,"სწორი პასუხია B, რადგან მუხლი 4 ადგენს, რომ ნორმატიული აქტი შეიძლება გამოქვეყნდეს არასახელმწიფო ენაზედაც, მაგრამ ასეთ ტექსტს ოფიციალური ძალა არა აქვს.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 4,,2026-06-12,false,"აქვს იგივე ოფიციალური ძალა, რაც ქართულ ტექსტს",ოფიციალური ძალა არა აქვს,ოფიციალური ძალა აქვს მხოლოდ სასამართლოში,ოფიციალური ძალა აქვს მხოლოდ მუნიციპალიტეტში,B
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, როდის გამოიყენება კანონის ანალოგია კერძოსამართლებრივ ურთიერთობაში?",medium,"სწორი პასუხია D, რადგან მუხლი 5 ადგენს, რომ კანონით პირდაპირ გაუთვალისწინებელი კერძოსამართლებრივი ურთიერთობის მოსაწესრიგებლად გამოიყენება ყველაზე უფრო მსგავსი ურთიერთობის მარეგულირებელი ნორმა.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 5,,2026-06-12,false,"ყოველთვის, როცა მხარეები ზეპირად შეთანხმდებიან",მხოლოდ სისხლისსამართლებრივ პასუხისმგებლობაზე,მხოლოდ საჯარო ორგანოს შიდა დებულებაზე,როცა ურთიერთობა კანონით პირდაპირ არ არის გათვალისწინებული,D
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, როგორ გამოიყენება კანონის ანალოგია საჯაროსამართლებრივ ურთიერთობებში?",hard,"სწორი პასუხია A, რადგან მუხლი 5 ადგენს, რომ საჯაროსამართლებრივ ურთიერთობებში კანონის ანალოგია გამოიყენება მხოლოდ კანონით პირდაპირ გათვალისწინებულ შემთხვევებში და დადგენილი წესით.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 5,,2026-06-12,false,მხოლოდ კანონით პირდაპირ გათვალისწინებულ შემთხვევებში და დადგენილი წესით,"ყოველთვის, როცა ადმინისტრაციულ ორგანოს ეს მიზანშეწონილად მიაჩნია","არასოდეს, თუნდაც კანონი პირდაპირ ითვალისწინებდეს",მხოლოდ კერძო პირის წერილობითი თანხმობით,A
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, შეიძლება თუ არა სპეციალური საგამონაკლისო ნორმების ანალოგიით გამოყენება?",medium,"სწორი პასუხია C, რადგან მუხლი 5 პირდაპირ ადგენს, რომ სპეციალური საგამონაკლისო ნორმები არ შეიძლება გამოყენებულ იქნეს ანალოგიით.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 5,,2026-06-12,false,შეიძლება ყველა საჯარო ურთიერთობაში,შეიძლება მხოლოდ მთავრობის თანხმობით,არ შეიძლება გამოყენებულ იქნეს ანალოგიით,შეიძლება მხოლოდ კერძო ხელშეკრულებებში,C
administrative,normative-acts,"საქართველოს ორგანული კანონის „ნორმატიული აქტების შესახებ“ მიხედვით, როგორ ითვლება ამ კანონში მითითებული ვადები, გარდა სპეციალურად გამონაკლისი ვადებისა?",medium,"სწორი პასუხია B, რადგან მუხლი 6 ადგენს, რომ ამ კანონში მითითებული ვადების ათვლისას არ ჩაითვლება კანონმდებლობით დადგენილი უქმე და დასვენების დღეები, გარდა მითითებული გამონაკლისებისა.",საქართველოს ორგანული კანონი „ნორმატიული აქტების შესახებ“,მუხლი 6,,2026-06-12,false,ითვლება ყველა კალენდარული დღე გამონაკლისის გარეშე,არ ჩაითვლება უქმე და დასვენების დღეები,ითვლება მხოლოდ უქმე დღეები,ვადები ითვლება მხოლოდ სასამართლოს ბრძანებით,B
