category_slug,subcategory_slug,text,difficulty,explanation,law_name,law_article,source_url,law_version_date,is_prime,option_a,option_b,option_c,option_d,correct_option
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: ეს კოდექსი ადგენს დანაშაულის გამოძიების, სისხლისსამართლებრივი დევნისა და მართლმსაჯულების განხორციელების წესებს. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია D, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 1 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 1,,2026-06-29,false,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 1.,D
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: სისხლის სამართლის პროცესში გამოიყენება ის საპროცესო ნორმა, რომელიც მოქმედებს გამოძიებისა და სასამართლო განხილვის დროს. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია B, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 2 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 2,,2026-06-29,false,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 2.,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,B
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: არასრულწლოვანი – პირი, რომელსაც 18 წელი არ შესრულებია. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია D, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 3 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 3,,2026-06-29,false,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 3.,D
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: მოსამართლე, პროკურორი, გამომძიებელი და სისხლის სამართლის პროცესის სხვა მონაწილეები ვალდებული არიან სისხლის სამართლის პროცესის ყველა სტადიაზე დაიცვან პროცესის მონაწილეთა ღირსება და. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია B, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 4 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 4,,2026-06-29,false,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 4.,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,B
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: პირი უდანაშაულოდ ითვლება, ვიდრე მისი დამნაშავეობა არ დამტკიცდება სასამართლოს კანონიერ ძალაში შესული გამამტყუნებელი განაჩენით. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია D, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 5 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 5,,2026-06-29,false,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 5.,D
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: სისხლის სამართლის პროცესის მონაწილის კონსტიტუციურ უფლებათა და თავისუფლებათა შეზღუდვა დასაშვებია მხოლოდ საქართველოს კონსტიტუციითა და ამ კოდექსით გათვალისწინებული სპეციალური ნორმების. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია B, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 6 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 6,,2026-06-29,false,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 6.,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,B
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: გამოძიების პროცესში მხარეს არა აქვს უფლება, თვითნებურად და უკანონოდ ჩაერიოს სხვის პირად ცხოვრებაში. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია D, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 7 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 7,,2026-06-29,false,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 7.,D
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: ბრალდებულს (მსჯავრდებულს, გამართლებულს) აქვს სამართლიანი პროცესის უფლება. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია B, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 8 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 8,,2026-06-29,false,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 8.,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,B
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: სისხლისსამართლებრივი დევნის დაწყებისთანავე სისხლის სამართლის პროცესი ხორციელდება მხარეთა თანასწორობისა და შეჯიბრებითობის საფუძველზე. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია D, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 9 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 9,,2026-06-29,false,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 9.,D
criminal,criminal-procedure-code,"პრაქტიკულ საქმეში მხარემ განაცხადა, რომ შემდეგი წესი უნდა გამოიყენოს: სასამართლო სხდომა, როგორც წესი, ტარდება საჯაროდ და ზეპირად. საქართველოს სისხლის სამართლის საპროცესო კოდექსის შესაბამისად, რომელი სამართლებრივი შეფასებაა სწორი?",easy,"სწორი პასუხია C, რადგან საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 10 ადგენს სწორედ ამ სამართლებრივ წესს.",საქართველოს სისხლის სამართლის საპროცესო კოდექსი,მუხლი 10,,2026-06-29,false,ეს მიდგომა არ გამოიყენება სისხლის სამართალში და მხოლოდ სამოქალაქო დავას ეხება.,"ეს მიდგომა მოქმედებს მხოლოდ მაშინ, თუ ბრალდებული წერილობით დაეთანხმება.",მითითებული მიდგომა სწორია; ამ წესს ადგენს საქართველოს სისხლის სამართლის საპროცესო კოდექსის მუხლი 10.,ეს მიდგომა გამოიყენება მხოლოდ სასამართლოს სპეციალური ნებართვის შემთხვევაში.,C
