category_slug,subcategory_slug,text,difficulty,explanation,law_name,law_article,source_url,law_version_date,is_prime,option_a,option_b,option_c,option_d,correct_option
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, როგორია საქართველოს სახელმწიფო სუვერენიტეტის ძირითადი კონსტიტუციური დახასიათება?",easy,"სწორი პასუხია A, რადგან საქართველოს კონსტიტუციის მუხლი 1 ადგენს, რომ საქართველო არის დამოუკიდებელი, ერთიანი და განუყოფელი სახელმწიფო.","საქართველოს კონსტიტუცია","მუხლი 1","","2018-03-23",false,"დამოუკიდებელი, ერთიანი და განუყოფელი სახელმწიფო","დამოკიდებული, ფედერაციული და დროებითი სახელმწიფო","ავტონომიური, ნაწილობრივ სუვერენული რესპუბლიკა","კონფედერაციული და ხელშეკრულებითი გაერთიანება",A
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რომელი თარიღის მდგომარეობით არის განსაზღვრული საქართველოს სახელმწიფოს ტერიტორია?",medium,"სწორი პასუხია C, რადგან საქართველოს კონსტიტუციის მუხლი 1 ადგენს, რომ საქართველოს სახელმწიფოს ტერიტორია განსაზღვრულია 1991 წლის 21 დეკემბრის მდგომარეობით.","საქართველოს კონსტიტუცია","მუხლი 1","","2018-03-23",false,"1991 წლის 31 მარტის მდგომარეობით","1991 წლის 9 აპრილის მდგომარეობით","1991 წლის 21 დეკემბრის მდგომარეობით","1995 წლის 24 აგვისტოს მდგომარეობით",C
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა წესია დადგენილი საქართველოს სახელმწიფოს ტერიტორიის გასხვისებაზე?",easy,"სწორი პასუხია B, რადგან საქართველოს კონსტიტუციის მუხლი 1 პირდაპირ ადგენს, რომ საქართველოს სახელმწიფოს ტერიტორიის გასხვისება აკრძალულია.","საქართველოს კონსტიტუცია","მუხლი 1","","2018-03-23",false,"დასაშვებია პარლამენტის თანხმობით","აკრძალულია საქართველოს ტერიტორიის გასხვისება","დასაშვებია მთავრობის გადაწყვეტილებით","შესაძლებელია საერთაშორისო შუამავლობით",B
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა გზით შეიძლება შეიცვალოს საქართველოს სახელმწიფო საზღვარი?",medium,"სწორი პასუხია D, რადგან საქართველოს კონსტიტუციის მუხლი 1 ადგენს, რომ სახელმწიფო საზღვრის შეცვლა შეიძლება მხოლოდ მეზობელ სახელმწიფოსთან დადებული ორმხრივი შეთანხმებით.","საქართველოს კონსტიტუცია","მუხლი 1","","2018-03-23",false,"მხოლოდ მთავრობის ერთპიროვნული აქტით","საერთაშორისო ორგანიზაციის რეკომენდაციით","ადგილობრივი რეფერენდუმის შედეგით","მეზობელ სახელმწიფოსთან ორმხრივი შეთანხმებით",D
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა არის საქართველოს სახელმწიფოს ოფიციალური სახელწოდება?",easy,"სწორი პასუხია A, რადგან საქართველოს კონსტიტუციის მუხლი 2 ადგენს, რომ საქართველოს სახელმწიფოს სახელწოდებაა „საქართველო“.","საქართველოს კონსტიტუცია","მუხლი 2","","2018-03-23",false,"საქართველო","საქართველოს რესპუბლიკა","ქართული სახელმწიფო","საქართველოს დემოკრატია",A
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რომელი ქალაქია საქართველოს დედაქალაქი?",easy,"სწორი პასუხია C, რადგან საქართველოს კონსტიტუციის მუხლი 2 ადგენს, რომ საქართველოს დედაქალაქი არის თბილისი.","საქართველოს კონსტიტუცია","მუხლი 2","","2018-03-23",false,"ქუთაისი","მცხეთა","თბილისი","ბათუმი",C
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა არის საქართველოს სახელმწიფო ენა?",easy,"სწორი პასუხია B, რადგან საქართველოს კონსტიტუციის მუხლი 2 ადგენს, რომ საქართველოს სახელმწიფო ენა არის ქართული, ხოლო აფხაზეთის ავტონომიურ რესპუბლიკაში აგრეთვე აფხაზური.","საქართველოს კონსტიტუცია","მუხლი 2","","2018-03-23",false,"ქართული და ინგლისური მთელ ტერიტორიაზე","ქართული, ხოლო აფხაზეთში აგრეთვე აფხაზური","მხოლოდ აფხაზური ავტონომიურ რესპუბლიკაში","ქართული და რუსული თანაბარი სტატუსით",B
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა ფორმით დგინდება საქართველოს სახელმწიფო დროშა, გერბი და ჰიმნი?",medium,"სწორი პასუხია D, რადგან საქართველოს კონსტიტუციის მუხლი 2 ადგენს, რომ სახელმწიფო დროშა, გერბი და ჰიმნი დადგენილია ორგანული კანონით.","საქართველოს კონსტიტუცია","მუხლი 2","","2018-03-23",false,"პრეზიდენტის ბრძანებულებით","მთავრობის დადგენილებით","ჩვეულებრივი ადმინისტრაციული აქტით","ორგანული კანონით",D
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, როგორია საქართველოს პოლიტიკური წყობილების ფორმა?",easy,"სწორი პასუხია A, რადგან საქართველოს კონსტიტუციის მუხლი 3 ადგენს, რომ საქართველო არის დემოკრატიული რესპუბლიკა.","საქართველოს კონსტიტუცია","მუხლი 3","","2018-03-23",false,"დემოკრატიული რესპუბლიკა","კონსტიტუციური მონარქია","საპრეზიდენტო ფედერაცია","სამხედრო რესპუბლიკა",A
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, ვის ეკუთვნის სახელმწიფო ხელისუფლების წყაროს სტატუსი?",easy,"სწორი პასუხია C, რადგან საქართველოს კონსტიტუციის მუხლი 3 ადგენს, რომ სახელმწიფო ხელისუფლების წყაროა ხალხი.","საქართველოს კონსტიტუცია","მუხლი 3","","2018-03-23",false,"პარლამენტს, როგორც უმაღლეს ორგანოს","მთავრობას, როგორც აღმასრულებელ ორგანოს","ხალხს, როგორც ხელისუფლების წყაროს","პრეზიდენტს, როგორც სახელმწიფოს მეთაურს",C
