category_slug,subcategory_slug,text,difficulty,explanation,law_name,law_article,source_url,law_version_date,is_prime,option_a,option_b,option_c,option_d,correct_option
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რომელი საკითხი მიეკუთვნება საქართველოს უმაღლეს სახელმწიფო ორგანოთა განსაკუთრებულ გამგებლობას ტერიტორიული მოწყობის ფარგლებში?",medium,"სწორი პასუხია A, რადგან საქართველოს კონსტიტუციის მუხლი 7 საქართველოს უმაღლეს სახელმწიფო ორგანოთა განსაკუთრებულ გამგებლობას მიაკუთვნებს, მათ შორის, ადამიანის უფლებების, მოქალაქეობისა და მიგრაციის შესახებ კანონმდებლობას.",საქართველოს კონსტიტუცია,მუხლი 7,,2018-03-23,false,"ადამიანის უფლებების, მოქალაქეობისა და მიგრაციის კანონმდებლობა",მხოლოდ ადგილობრივი მნიშვნელობის პარკების მოწყობა,მხოლოდ მუნიციპალური დღესასწაულების განსაზღვრა,მხოლოდ კერძო გაერთიანებების წესდებების დამტკიცება,A
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რის საფუძველზე გადაისინჯება საქართველოს ტერიტორიული სახელმწიფოებრივი მოწყობა?",hard,"სწორი პასუხია C, რადგან საქართველოს კონსტიტუციის მუხლი 7 ადგენს, რომ ტერიტორიული სახელმწიფოებრივი მოწყობა გადაისინჯება კონსტიტუციური კანონით, უფლებამოსილებათა გამიჯვნის პრინციპის საფუძველზე, ქვეყნის მთელ ტერიტორიაზე იურისდიქციის სრულად აღდგენის შემდეგ.",საქართველოს კონსტიტუცია,მუხლი 7,,2018-03-23,false,მთავრობის ერთჯერადი ადმინისტრაციული აქტით,ადგილობრივი ორგანოს დამოუკიდებელი გადაწყვეტილებით,"კონსტიტუციური კანონით, უფლებამოსილებათა გამიჯვნის პრინციპის საფუძველზე",საერთაშორისო ორგანიზაციის არასავალდებულო რეკომენდაციით,C
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, როგორ წესრიგდება სახელმწიფოსა და საქართველოს სამოციქულო ავტოკეფალური მართლმადიდებელი ეკლესიის ურთიერთობა?",medium,"სწორი პასუხია B, რადგან საქართველოს კონსტიტუციის მუხლი 8 ადგენს, რომ სახელმწიფოსა და საქართველოს სამოციქულო ავტოკეფალური მართლმადიდებელი ეკლესიის ურთიერთობა განისაზღვრება კონსტიტუციური შეთანხმებით.",საქართველოს კონსტიტუცია,მუხლი 8,,2018-03-23,false,მხოლოდ მთავრობის დადგენილებით,კონსტიტუციური შეთანხმებით,პრეზიდენტის ზეპირი მიმართვით,ადგილობრივი თვითმმართველობის გადაწყვეტილებით,B
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა არის ადამიანის ღირსების კონსტიტუციური სტატუსი?",easy,"სწორი პასუხია D, რადგან საქართველოს კონსტიტუციის მუხლი 9 ადგენს, რომ ადამიანის ღირსება ხელშეუვალია და მას იცავს სახელმწიფო.",საქართველოს კონსტიტუცია,მუხლი 9,,2018-03-23,false,ადამიანის ღირსება დაცულია მხოლოდ ადმინისტრაციულ საქმეებში,ადამიანის ღირსება შეიძლება გაუქმდეს კანონით,ადამიანის ღირსება დამოკიდებულია მოქალაქეობაზე,ადამიანის ღირსება ხელშეუვალია და მას იცავს სახელმწიფო,D
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რომელი სასჯელი ან მოპყრობაა დაუშვებელი ადამიანის ღირსების დაცვის ფარგლებში?",easy,"სწორი პასუხია A, რადგან საქართველოს კონსტიტუციის მუხლი 9 კრძალავს წამებას, არაადამიანურ ან დამამცირებელ მოპყრობას და ასეთივე სასჯელის გამოყენებას.",საქართველოს კონსტიტუცია,მუხლი 9,,2018-03-23,false,წამება და არაადამიანური ან დამამცირებელი მოპყრობა,სასამართლოსთვის მიმართვა უფლებების დასაცავად,ადვოკატის დახმარების მოთხოვნა დაკავებისას,სახელმწიფო ორგანოსგან ინფორმაციის მიღება,A
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა წესია დადგენილი სიკვდილით დასჯის შესახებ?",easy,"სწორი პასუხია C, რადგან საქართველოს კონსტიტუციის მუხლი 10 ადგენს, რომ ადამიანის სიცოცხლე დაცულია და სიკვდილით დასჯა აკრძალულია.",საქართველოს კონსტიტუცია,მუხლი 10,,2018-03-23,false,სიკვდილით დასჯა დასაშვებია მთავრობის თანხმობით,სიკვდილით დასჯა დასაშვებია მხოლოდ საომარი მდგომარეობისას,სიკვდილით დასჯა აკრძალულია,სიკვდილით დასჯა წყდება ადგილობრივი ორგანოს მიერ,C
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, როგორ არის დაცული ადამიანის ფიზიკური ხელშეუხებლობა?",easy,"სწორი პასუხია B, რადგან საქართველოს კონსტიტუციის მუხლი 10 ადგენს, რომ ადამიანის ფიზიკური ხელშეუხებლობა დაცულია.",საქართველოს კონსტიტუცია,მუხლი 10,,2018-03-23,false,იგი დაცულია მხოლოდ საჯარო მოხელეებისთვის,ადამიანის ფიზიკური ხელშეუხებლობა დაცულია,იგი მოქმედებს მხოლოდ საკუთრების დავებზე,იგი მთლიანად დამოკიდებულია ადმინისტრაციულ ნებართვაზე,B
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რას კრძალავს თანასწორობის უფლება სამართლის წინაშე?",medium,"სწორი პასუხია D, რადგან საქართველოს კონსტიტუციის მუხლი 11 ადგენს სამართლის წინაშე თანასწორობას და კრძალავს დისკრიმინაციას სხვადასხვა ნიშნის მიხედვით.",საქართველოს კონსტიტუცია,მუხლი 11,,2018-03-23,false,მხოლოდ თავისუფალი მიმოსვლის შეზღუდვას,მხოლოდ პოლიტიკური პარტიის შექმნას,მხოლოდ სასამართლოს გადაწყვეტილების გამოცხადებას,"დისკრიმინაციას რასის, სქესის, ენის, რელიგიის ან სხვა ნიშნით",D
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, რა ვალდებულება აქვს სახელმწიფოს მამაკაცებისა და ქალების უფლებებთან დაკავშირებით?",medium,"სწორი პასუხია A, რადგან საქართველოს კონსტიტუციის მუხლი 11 ადგენს, რომ სახელმწიფო უზრუნველყოფს თანაბარ უფლებებსა და შესაძლებლობებს მამაკაცებისა და ქალებისათვის და იღებს განსაკუთრებულ ზომებს არსებითი თანასწორობის უზრუნველსაყოფად.",საქართველოს კონსტიტუცია,მუხლი 11,,2018-03-23,false,უზრუნველყოს თანაბარი უფლებები და არსებითი თანასწორობისთვის მიიღოს განსაკუთრებული ზომები,შეზღუდოს ქალებისა და მამაკაცების თანასწორი მონაწილეობა საჯარო ცხოვრებაში,გადაწყვიტოს თანასწორობის საკითხი მხოლოდ კერძო შეთანხმებით,დაუშვას უთანასწორობა სოციალური მდგომარეობის მიხედვით,A
constitutional,constitution,"საქართველოს კონსტიტუციის მიხედვით, ვის აქვს პიროვნების თავისუფალი განვითარების უფლება?",easy,"სწორი პასუხია C, რადგან საქართველოს კონსტიტუციის მუხლი 12 ადგენს, რომ ყველას აქვს საკუთარი პიროვნების თავისუფალი განვითარების უფლება.",საქართველოს კონსტიტუცია,მუხლი 12,,2018-03-23,false,მხოლოდ საქართველოს მოქალაქეებს საჯარო სამსახურში,მხოლოდ პოლიტიკური პარტიის წევრებს,ყველას,მხოლოდ სრულწლოვან ამომრჩევლებს,C
