category_slug,subcategory_slug,text,difficulty,explanation,law_name,law_article,source_url,law_version_date,is_prime,option_a,option_b,option_c,option_d,correct_option
constitutional,election-code,საქართველოს საარჩევნო კოდექსში რომელ საკითხს აწესრიგებს მუხლი 1?,hard,"სწორი პასუხია A, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 1 ადგენს/განმარტავს საკითხს „კანონის რეგულირების სფერო“.",საქართველოს საარჩევნო კოდექსი,მუხლი 1,,2025-12-17,false,კანონის რეგულირების სფერო,საარჩევნო ბიულეტენი,კენჭისყრისა და არჩევნების შედეგების შემაჯამებელი ოქმები,პარტიების რეგისტრაცია,A
constitutional,election-code,საქართველოს საარჩევნო კოდექსში რომელ საკითხს აწესრიგებს მუხლი 2?,hard,"სწორი პასუხია B, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 2 ადგენს/განმარტავს საკითხს „ტერმინთა განმარტება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 2,,2025-12-17,false,თბილისის საკრებულოს წევრად არჩეულ პირთა რეგისტრაცია,ტერმინთა განმარტება,კენჭისყრის ჩატარება,პარტიების რეგისტრაცია,B
constitutional,election-code,საქართველოს საარჩევნო კოდექსში რომელ საკითხს აწესრიგებს მუხლი 3?,easy,"სწორი პასუხია C, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 3 ადგენს/განმარტავს საკითხს „არჩევნების, რეფერენდუმისა და პლებისციტის ჩატარების ძირითადი პრინციპები“.",საქართველოს საარჩევნო კოდექსი,მუხლი 3,,2025-12-17,false,"ცესკოს თავმჯდომარის, თავმჯდომარის მოადგილისა და ცესკოს მდივნის უფლებამოსილება",საქართველოს პრეზიდენტობის კანდიდატის რეგისტრაცია,"არჩევნების, რეფერენდუმისა და პლებისციტის ჩატარების ძირითადი პრინციპები","საოლქო საარჩევნო კომისიის თავმჯდომარის, თავმჯდომარის მოადგილისა და კომისიის მდივნის უფლებამოსილება",C
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „არჩევნების საჯაროობა“?",hard,"სწორი პასუხია D, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 4 ადგენს/განმარტავს საკითხს „არჩევნების საჯაროობა“.",საქართველოს საარჩევნო კოდექსი,მუხლი 4,,2025-12-17,false,"თვითმმართველი ქალაქის/თვითმმართველი თემის მერად შეიძლება აირჩეს საარჩევნო უფლების მქონე საქართველოს მოქალაქე, რომელსაც კენჭისყრის დღემდე შეუსრულდა ან კენჭისყრის დღეს უსრულდება 25 წელი და საქართველოში უცხოვრია...",მუნიციპალიტეტის წარმომადგენლობითი ორგანოს – საკრებულოს უფლებამოსილებისა და მუნიციპალიტეტის აღმასრულებელი ორგანოს − მერის უფლებამოსილების ვადაა 4 წელი,"თვითმმართველი ქალაქის/თვითმმართველი თემის მერის არჩევნების ჩატარებისას გამოიყენება ამ კანონით დადგენილი ნორმები, თუ ამ თავით სხვა რამ არ არის გათვალისწინებული","ამ კანონით დადგენილი წესით და მისი მიზნებიდან გამომდინარე, საქართველოს საარჩევნო ადმინისტრაციის, საარჩევნო სუბიექტების, სახელმწიფო ხელისუფლებისა და მუნიციპალიტეტის ორგანოების საქმიანობა ხორციელდება ღიად და...",D
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „ამ კანონით დადგენილი ვადების ათვლა“?",hard,"სწორი პასუხია A, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 5 ადგენს/განმარტავს საკითხს „ამ კანონით დადგენილი ვადების ათვლა“.",საქართველოს საარჩევნო კოდექსი,მუხლი 5,,2025-12-17,false,"თუ ამ კანონით სხვა რამ არ არის დადგენილი, ჩასატარებელი არჩევნებისათვის/რეფერენდუმისათვის ღონისძიებებისა და პროცედურების საწყისი ვადები აითვლება არჩევნების/რეფერენდუმის დანიშვნის შესახებ სამართლებრივი აქტის...",ამ მუხლის პირველი პუნქტით გათვალისწინებული საარჩევნო სუბიექტის ანგარიშზე შესაბამისი თანხა ცესკოს არჩევნების შედეგების შემაჯამებელი ოქმის საფუძველზე უნდა ჩაირიცხოს არჩევნების შედეგების შეჯამებიდან არაუგვიანეს...,"უწყებათაშორისი კომისია მორიგი საერთო არჩევნების შემთხვევაში იქმნება არაუგვიანეს არჩევნების წლის 1 ივლისისა, ხოლო საქართველოს პარლამენტის რიგგარეშე არჩევნებისას ან ხელახალი არჩევნებისას − არჩევნების დანიშვნიდან...",საარჩევნო უბნის გახსნიდან კენჭისყრის დაწყებამდე პროცედურები ტარდება შემდეგი თანამიმდევრობით: ა) საარჩევნო უბნის გახსნისთანავე იხსნება კენჭისყრის დღის ჩანაწერთა წიგნი,A
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „არჩევნების/რეფერენდუმის/პლებისციტის დღის უქმე დღედ გამოცხადება“?",easy,"სწორი პასუხია B, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 6 ადგენს/განმარტავს საკითხს „არჩევნების/რეფერენდუმის/პლებისციტის დღის უქმე დღედ გამოცხადება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 6,,2025-12-17,false,"საერთო მაუწყებელმა, რომელიც გადაწყვეტს, წინასაარჩევნო კამპანია საკუთარ ეთერში გააშუქოს, წინასაარჩევნო დებატები არადისკრიმინაციულად უნდა გადასცეს",არჩევნები/რეფერენდუმი/პლებისციტი შეიძლება ჩატარდეს კვირის ნებისმიერ დღეს,მერობის კანდიდატის სტატუსის მის თანამდებობრივ მდგომარეობასთან შეუთავსებლობა განისაზღვრება ამ კანონის 136-ე მუხლით,"თუ არჩევნების ვადა ემთხვევა საგანგებო ან საომარ მდგომარეობას, არჩევნები ტარდება ამ მდგომარეობის გაუქმებიდან არა უგვიანეს 60 დღისა",B
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „საარჩევნო კომისიის მუშაობის წესი“?",medium,"სწორი პასუხია C, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 8 ადგენს/განმარტავს საკითხს „საარჩევნო კომისიის მუშაობის წესი“.",საქართველოს საარჩევნო კოდექსი,მუხლი 8,,2025-12-17,false,"განცხადებაში უნდა აღინიშნოს პარტიის: ა) სახელწოდება ან/და მისი შემოკლებული დასახელება, თუ ასეთი მითითებულია პარტიის წესდებაში",ამისთვის მან სათანადო განცხადებით უნდა მიმართოს შესაბამის საარჩევნო კომისიას,"საარჩევნო კომისიის მუშაობის წესი განისაზღვრება ამ კანონითა და შესაბამისი კომისიის რეგლამენტით, რომელსაც დადგენილებით იღებს ცესკო","მერის არჩევნების შედეგებს ადგენს და აჯამებს შესაბამისი საოლქო საარჩევნო კომისია, ხოლო ქალაქ თბილისის მერის არჩევნების შედეგებს აჯამებენ შესაბამისი საოლქო საარჩევნო კომისიები და ადგენს ცესკო",C
constitutional,election-code,საქართველოს საარჩევნო კოდექსში რომელ საკითხს აწესრიგებს მუხლი 9?,easy,"სწორი პასუხია D, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 9 ადგენს/განმარტავს საკითხს „შრომის ანაზღაურება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 9,,2025-12-17,false,ხმის დათვლა,სარეფერენდუმო საკითხები,პარტიული სიის წარდგენა,შრომის ანაზღაურება,D
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „ცესკოს შემადგენლობა, ცესკოს არჩევითი წევრებისა და ცესკოს თავმჯდომარის თანამდებობებზე განწესება“?",easy,"სწორი პასუხია A, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 10 ადგენს/განმარტავს საკითხს „ცესკოს შემადგენლობა, ცესკოს არჩევითი წევრებისა და ცესკოს თავმჯდომარის თანამდებობებზე განწესება“.",საქართველოს საარჩევნო კოდექსი,მუხლი 10,,2025-12-17,false,"მათ შორის არიან ცესკოს თავმჯდომარე, ცესკოს თავმჯდომარის მოადგილე და ცესკოს მდივანი",საკრებულოს წევრი შუალედურ არჩევნებში აირჩევა იმავე საკრებულოს უფლებამოსილების დარჩენილი ვადით,"არჩევნების დანიშვნის დღიდან 2 დღის ვადაში ცესკო თავის ოფიციალურ ვებგვერდზე აქვეყნებს ცნობას საარჩევნო ოლქების შესახებ, მათი საზღვრების მითითებით",საოლქო საარჩევნო კომისიის ხელმძღვანელი პირის უფლებამოსილების ვადა განისაზღვრება საოლქო საარჩევნო კომისიაში მისი წევრობის ვადით,A
constitutional,election-code,"საქართველოს საარჩევნო კოდექსის მიხედვით, რომელი დებულება შეესაბამება საკითხს „ცესკოს თავმჯდომარის მოადგილისა და ცესკოს მდივნის არჩევის წესი“?",hard,"სწორი პასუხია B, რადგან საქართველოს საარჩევნო კოდექსის მუხლი 11 ადგენს/განმარტავს საკითხს „ცესკოს თავმჯდომარის მოადგილისა და ცესკოს მდივნის არჩევის წესი“.",საქართველოს საარჩევნო კოდექსი,მუხლი 11,,2025-12-17,false,ცესკოს/საოლქო საარჩევნო კომისიის წევრის დანიშვნის/არჩევის გამო სარჩელის სასამართლოში შეტანის უფლება ამ კანონით დადგენილ ვადაში აქვს საქართველოს კანონმდებლობით განსაზღვრულ პირს,"ცესკოს თავმჯდომარის მოადგილე, ცესკოს მდივანი უნდა აირჩეს საქართველოს პარლამენტის მიერ არჩეულ/საქართველოს პრეზიდენტის მიერ დანიშნულ ცესკოს წევრთაგან","თუ ამომრჩეველი არ იქნება მარკირებული, მას მიეცემა კენჭისყრაში მონაწილეობის უფლება",სასამართლოს მიერ სამართალდარღვევის ფაქტის დადგენის/შესაბამისი გადაწყვეტილების მიღების ვადა არ უნდა აღემატებოდეს სასამართლოში ოქმის წარდგენიდან 2 დღეს,B
