category_slug,subcategory_slug,text,difficulty,explanation,law_name,law_article,source_url,law_version_date,is_prime,option_a,option_b,option_c,option_d,correct_option
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „სასამართლო ხელისუფლება“?",easy,"სწორი პასუხია A, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 1 ადგენს, რომ სასამართლო ხელისუფლება დამოუკიდებელია სახელმწიფო ხელისუფლების სხვა შტოებისაგან და მას ახორციელებენ მხოლოდ სასამართლოები.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 1,,2026-03-04,false,სასამართლო ხელისუფლება დამოუკიდებელია სახელმწიფო ხელისუფლების სხვა შტოებისაგან და მას ახორციელებენ მხოლოდ სასამართლოები.,სააპელაციო სასამართლოს მოსამართლეთა რაოდენობას განსაზღვრავს საქართველოს იუსტიციის უმაღლესი საბჭო.,საჩივარი ზეპირი მოსმენით განიხილება უზენაესი სასამართლოს საკვალიფიკაციო პალატის ღია სხდომაზე.,"მართლმსაჯულების დაუბრკოლებლად განხორციელების, სასამართლო პრაქტიკის შესწავლისა და განზოგადების, სასამართლო სტატისტიკის ანალიზის, აგრეთვე სასამართლოს სხვა საქმიანობის უზრუნველყოფის მიზნით საქართველოს საერთო სასამართლოებში მოქმედებენ სასამართლოთა აპარატები.",A
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „ტერმინთა განმარტება“?",medium,"სწორი პასუხია B, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 1¹ ადგენს, რომ ამ კანონის XII​1 თავში გამოყენებულ ტერმინებს აქვს შემდეგი მნიშვნელობა:",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 1¹,,2026-03-04,false,"სააპელაციო სასამართლო საპროცესო კანონით დადგენილი წესით, კოლეგიურად, 3 მოსამართლის შემადგენლობით განიხილავს სააპელაციო საჩივრებს რაიონული (საქალაქო) სასამართლოების გადაწყვეტილებებზე.",ამ კანონის XII​1 თავში გამოყენებულ ტერმინებს აქვს შემდეგი მნიშვნელობა:,მოსამართლის თანამდებობაზე უვადოდ გამწესებაზე უარის თქმის შესახებ საქართველოს იუსტიციის უმაღლესი საბჭოს განმეორებითი გადაწყვეტილება საჩივრდება მოსამართლის თანამდებობაზე უვადოდ გამწესებაზე უარის თქმის შესახებ საქართველოს იუსტიციის უმაღლესი საბჭოს გადაწყვეტილების გასაჩივრებისათვის ამ კანონით დადგენილი წესით.,ანაზღაურებადი სტაჟირებისას პირი ინიშნება სასამართლოს აპარატის შესაბამის თანამდებობაზე.,B
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „საქართველოს საერთო სასამართლოების სისტემა“?",medium,"სწორი პასუხია C, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 2 ადგენს, რომ საქართველოს საერთო სასამართლოებია: რაიონული (საქალაქო) სასამართლო, სააპელაციო სასამართლო, საქართველოს უზენაესი სასამართლო.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 2,,2026-03-04,false,სააპელაციო სასამართლოს თავმჯდომარე:,შემფასებლის საქმიანობაში უკანონო ჩარევა დაუშვებელია და იწვევს საქართველოს სისხლის სამართლის კოდექსით გათვალისწინებულ პასუხისმგებლობას.,"საქართველოს საერთო სასამართლოებია: რაიონული (საქალაქო) სასამართლო, სააპელაციო სასამართლო, საქართველოს უზენაესი სასამართლო.",სასამართლოში საქმეები იხილება სასამართლო სხდომის მდივნის მონაწილეობით.,C
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „უფლების სასამართლო წესით დაცვა“?",medium,"სწორი პასუხია D, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 3 ადგენს, რომ ყოველ ადამიანს აქვს უფლება, თავის უფლებათა და თავისუფლებათა დასაცავად პირადად ან წარმომადგენლის მეშვეობით პირდაპირ მიმართოს სასამართლოს.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 3,,2026-03-04,false,სააპელაციო სასამართლოს თავმჯდომარის პირველი მოადგილე:,ვაკანსიის წარმოშობის შემთხვევაში შესაძლებელია თანამდებობაზე დანიშნული მოსამართლე მისივე თანხმობით კონკურსის გარეშე დაინიშნოს რაიონული (საქალაქო) ან სააპელაციო სასამართლოს მოსამართლედ.,"რაიონულ (საქალაქო), სააპელაციო და უზენაეს სასამართლოებში მოსამართლეთა შორის საქმეები ნაწილდება ავტომატურად, ელექტრონული სისტემის მეშვეობით, შემთხვევითი განაწილების პრინციპის დაცვით.","ყოველ ადამიანს აქვს უფლება, თავის უფლებათა და თავისუფლებათა დასაცავად პირადად ან წარმომადგენლის მეშვეობით პირდაპირ მიმართოს სასამართლოს.",D
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „სასამართლო გადაწყვეტილებათა სავალდებულოობა“?",hard,"სწორი პასუხია A, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 4 ადგენს, რომ სასამართლოს აქტი, აგრეთვე თავისი უფლებამოსილების განსახორციელებლად სასამართლოს მოთხოვნა და განკარგულება სავალდებულოა საქართველოს მთელ ტერიტორიაზე ყველა ფიზიკური და იურიდიული პირისათვის, სახელმწიფო და მუნიციპალიტეტის ორგანოსათვის.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 4,,2026-03-04,false,"სასამართლოს აქტი, აგრეთვე თავისი უფლებამოსილების განსახორციელებლად სასამართლოს მოთხოვნა და განკარგულება სავალდებულოა საქართველოს მთელ ტერიტორიაზე ყველა ფიზიკური და იურიდიული პირისათვის, სახელმწიფო და მუნიციპალიტეტის ორგანოსათვის.",რაიონული (საქალაქო) სასამართლო იქმნება და მისი სამოქმედო ტერიტორია განისაზღვრება საქართველოს იუსტიციის უმაღლესი საბჭოს გადაწყვეტილებით.,"ამასთანავე, ეს წესი არ გამოიყენება იმ შემთხვევაში, თუ მოსამართლე თავისი ინიციატივით მიმართავს საქართველოს იუსტიციის უმაღლეს საბჭოს მისი სხვა სასამართლოში მივლინების თაობაზე.",სასამართლოების მანდატურის სამსახურების საქმიანობის საერთო ხელმძღვანელობასა და კონტროლს ახორციელებს საქართველოს იუსტიციის უმაღლესი საბჭოს შესაბამისი სტრუქტურული ერთეული.,A
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „მართლმსაჯულებისა და სამართალწარმოების პრინციპები“?",hard,"სწორი პასუხია B, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 6 ადგენს, რომ მართლმსაჯულება ხორციელდება კანონისა და სასამართლოს წინაშე საქმეში მონაწილე ყველა პირის თანასწორობის საფუძველზე, აგრეთვე საქვეყნოობის, მოსამართლეთა შეუცვლელობისა და დამოუკიდებლობის პრინციპების დაცვით.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 6,,2026-03-04,false,რაიონული (საქალაქო) სასამართლო შედგება არანაკლებ 2 მოსამართლისაგან.,"მართლმსაჯულება ხორციელდება კანონისა და სასამართლოს წინაშე საქმეში მონაწილე ყველა პირის თანასწორობის საფუძველზე, აგრეთვე საქვეყნოობის, მოსამართლეთა შეუცვლელობისა და დამოუკიდებლობის პრინციპების დაცვით.","უზენაესი სასამართლოს თავმჯდომარე და უზენაესი სასამართლოს წევრები ფიცს დებენ საქართველოს პარლამენტის წინაშე, ხოლო სააპელაციო და რაიონული (საქალაქო) სასამართლოების მოსამართლეები – საქართველოს იუსტიციის უმაღლესი საბჭოს წინაშე.",სასამართლოს მანდატურის სამსახურის უფროსს თანამდებობაზე ნიშნავს და თანამდებობიდან ათავისუფლებს შესაბამისად სასამართლოს თავმჯდომარე ან საქართველოს იუსტიციის უმაღლესი საბჭოს მდივანი.,B
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „მოსამართლის დამოუკიდებლობა“?",easy,"სწორი პასუხია C, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 7 ადგენს, რომ მოსამართლე თავის საქმიანობაში დამოუკიდებელია.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 7,,2026-03-04,false,"რაიონული (საქალაქო) სასამართლო არის პირველი ინსტანციის სასამართლო, რომელიც მისი განსჯადობისთვის მიკუთვნებულ საქმეს საქართველოს საპროცესო კანონმდებლობით დადგენილი წესით განიხილავს ერთპიროვნულად ან, კანონით გათვალისწინებულ შემთხვევაში, – კოლეგიურად, 3 მოსამართლის შემადგენლობით.","მოსამართლის თანამდებობა შეუთავსებელია ნებისმიერ სხვა თანამდებობასთან და ანაზღაურებად საქმიანობასთან, გარდა საქართველოს კონსტიტუციით დადგენილი გამონაკლისისა.",მოსამართლე თავის საქმიანობაში დამოუკიდებელია.,"უზრუნველყოფს მოსამართლეების, სასამართლო პროცესის მონაწილეებისა და მოწმეების უსაფრთხოებას;",C
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „სასამართლოს საქმიანობაში ჩარევის დაუშვებლობა“?",hard,"სწორი პასუხია D, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 8 ადგენს, რომ სახელმწიფო თუ მუნიციპალიტეტის ორგანოს, დაწესებულებას, საზოგადოებრივ თუ პოლიტიკურ გაერთიანებას, თანამდებობის პირს, იურიდიულ პირს თუ ფიზიკურ პირს ეკრძალებათ ნებისმიერი ფორმით სასამართლოს დამოუკიდებლობის შელახვა.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 8,,2026-03-04,false,"რაიონულ (საქალაქო) სასამართლოში, სადაც ორი მოსამართლეა, ერთი განიხილავს სისხლის სამართლის საქმეებს, ხოლო მეორე – სამოქალაქო და სხვა კატეგორიის საქმეებს, გარდა საქართველოს საპროცესო კანონმდებლობით დადგენილი შემთხვევებისა.","დაუშვებელია მისი სისხლის სამართლის პასუხისგებაში მიცემა, დაკავება ან დაპატიმრება, საცხოვრებელი ან სამუშაო ადგილის, მანქანის ან პირადი გაჩხრეკა საქართველოს იუსტიციის უმაღლესი საბჭოს თანხმობის გარეშე.","სასამართლოს მანდატურს ფიზიკური ძალის, სპეციალური საშუალებებისა და იარაღის გამოყენების უფლება აქვს მხოლოდ იმ შემთხვევაში, როდესაც სხვა, შედარებით მსუბუქი ზომების გამოყენებით შეუძლებელია მისი სამსახურებრივი მოვალეობების შესრულება.","სახელმწიფო თუ მუნიციპალიტეტის ორგანოს, დაწესებულებას, საზოგადოებრივ თუ პოლიტიკურ გაერთიანებას, თანამდებობის პირს, იურიდიულ პირს თუ ფიზიკურ პირს ეკრძალებათ ნებისმიერი ფორმით სასამართლოს დამოუკიდებლობის შელახვა.",D
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „სამართალწარმოების ენა“?",medium,"სწორი პასუხია A, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 10 ადგენს, რომ სამართალწარმოება ხორციელდება სახელმწიფო ენაზე.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 10,,2026-03-04,false,სამართალწარმოება ხორციელდება სახელმწიფო ენაზე.,"რაიონული (საქალაქო) სასამართლოს განსჯადობა, ასევე მაგისტრატი მოსამართლის განსჯადობა განისაზღვრება კანონით.","რაიონული (საქალაქო) სასამართლოს მოსამართლე შეიძლება დაინიშნოს სააპელაციო სასამართლოში, თუ იგი რაიონულ (საქალაქო) სასამართლოში მოსამართლის უფლებამოსილებას ახორციელებდა არანაკლებ 3 წლის განმავლობაში.",საქართველოს მოსამართლეთა კონფერენცია არის საქართველოს საერთო სასამართლოების მოსამართლეთა თვითმმართველობის ორგანო.,A
constitutional,common-courts,"საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“-ის მიხედვით, რომელი დებულება შეესაბამება საკითხს: „გადაწყვეტილების მიღება“?",medium,"სწორი პასუხია B, რადგან საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“ მუხლი 11 ადგენს, რომ მოსამართლე გადაწყვეტილებას იღებს ერთპიროვნულად, ხოლო მოსამართლეები – კოლეგიურად.",საქართველოს ორგანული კანონი „საერთო სასამართლოების შესახებ“,მუხლი 11,,2026-03-04,false,"რაიონული (საქალაქო) სასამართლოს თავმჯდომარეს შესაბამისი სასამართლოს მოსამართლეთაგან, ხოლო იმ სასამართლოს თავმჯდომარეს, სადაც შექმნილია სასამართლო კოლეგიები, – მათ შორის, სასამართლო კოლეგიების თავმჯდომარეთაგან, 10 წლის ვადით თანამდებობაზე ნიშნავს საქართველოს იუსტიციის უმაღლესი საბჭო დასაბუთებული გადაწყვეტილებით.","მოსამართლე გადაწყვეტილებას იღებს ერთპიროვნულად, ხოლო მოსამართლეები – კოლეგიურად.",უზენაესი სასამართლოს თავმჯდომარისა და უზენაესი სასამართლოს მოსამართლის თანამდებობიდან გადაყენება შეიძლება მხოლოდ იმპიჩმენტის წესით.,"საქართველოს მოსამართლეთა კონფერენციის სისტემაში, ამ კანონის 63-ე მუხლით განსაზღვრული ფუნქციების შესრულების ხელშეწყობის მიზნით, იქმნება ადმინისტრაციული კომიტეტი.",B
